feature,coefficient,importance,direction,importance_rank
ChampionFk_P10,-0.0015604831168384906,0.0015604831168384906,Red-favored,163
Lane_P5_MIDDLE,0.0014417978138991949,0.0014417978138991949,Blue-favored,164
DmgTaken_P7,-0.0014247813819794842,0.0014247813819794842,Red-favored,165
Lane_P3_MIDDLE,-0.001362095734299075,0.001362095734299075,Red-favored,166
Lane_P10_TOP,-0.0011539106645197753,0.0011539106645197753,Red-favored,167
deaths_P9,0.0007360781844226699,0.0007360781844226699,Blue-favored,168
Lane_P4_MIDDLE,0.000735261296280973,0.000735261296280973,Blue-favored,169
deaths_P2,-0.0006652406268805329,0.0006652406268805329,Red-favored,170
ChampionFk_P1,-0.00038530232525560556,0.00038530232525560556,Red-favored,171
kills_P4,-0.0003363050071050277,0.0003363050071050277,Red-favored,172
Lane_P10_MIDDLE,-0.00011484005804038931,0.00011484005804038931,Red-favored,173
TurretDmgDealt_P1,0.0,0.0,Blue-favored,174
BlueBaronKills,0.0,0.0,Blue-favored,175
RedBaronKills,0.0,0.0,Blue-favored,176
TurretDmgDealt_P2,0.0,0.0,Blue-favored,177
TurretDmgDealt_P3,0.0,0.0,Blue-favored,178
TurretDmgDealt_P4,0.0,0.0,Blue-favored,179
TurretDmgDealt_P5,0.0,0.0,Blue-favored,180
TurretDmgDealt_P6,0.0,0.0,Blue-favored,181
TurretDmgDealt_P7,0.0,0.0,Blue-favored,182
TurretDmgDealt_P8,0.0,0.0,Blue-favored,183
TurretDmgDealt_P9,0.0,0.0,Blue-favored,184
TurretDmgDealt_P10,0.0,0.0,Blue-favored,185
