Model,FPR,TPR,Threshold
CatBoost,0.027721038809454333,0.2870478413068845,0.7895200168860761
CatBoost,0.02786693901371462,0.2870478413068845,0.7894949187633514
CatBoost,0.02786693901371462,0.28763127187864646,0.7891246177550855
CatBoost,0.028012839217974907,0.28763127187864646,0.7890549677317356
CatBoost,0.028012839217974907,0.2880688448074679,0.7888486559337932
CatBoost,0.02815873942223519,0.2880688448074679,0.7887267366723313
CatBoost,0.02815873942223519,0.2902567094515753,0.7878152396797801
CatBoost,0.028304639626495477,0.2902567094515753,0.7877502407128786
CatBoost,0.028304639626495477,0.29171528588098017,0.7871119848385337
CatBoost,0.02859644003501605,0.29171528588098017,0.7869424391316916
CatBoost,0.02859644003501605,0.29215285880980163,0.7867405274714938
CatBoost,0.028742340239276336,0.29215285880980163,0.7866404946359462
CatBoost,0.028742340239276336,0.29229871645274214,0.7866181106583648
CatBoost,0.029034140647796906,0.29229871645274214,0.7864108174060734
CatBoost,0.029034140647796906,0.29390315052508753,0.7857545054418704
CatBoost,0.02932594105631748,0.29390315052508753,0.7856766104182497
CatBoost,0.02932594105631748,0.2950700116686114,0.7849357383588704
CatBoost,0.029471841260577766,0.2950700116686114,0.7848046286375222
CatBoost,0.029471841260577766,0.2953617269544924,0.7845697996156161
CatBoost,0.02961774146483805,0.2953617269544924,0.7843748279277709
