feature,importance,feature_group,rank
PrimaryKeyStone_P2_8008,0.00015675152125828643,setup_runes_spells,278
RedChamp_11,0.00015618674529888004,champion_composition,279
SummonerSpell2_P2_2201,0.00015315350121721427,setup_runes_spells,280
Lane_P9_SUPPORT,0.00015286009746669763,lane_position,281
BlueChamp_238,0.00015224273244380743,champion_composition,282
SummonerSpell2_P1_6,0.00015219244797137177,setup_runes_spells,283
Lane_P4_SUPPORT,0.00015203410478288652,lane_position,284
PrimaryKeyStone_P5_8465,0.00015080428664468524,setup_runes_spells,285
PrimaryKeyStone_P10_8351,0.00014859013986609845,setup_runes_spells,286
SummonerSpell1_P10_2202,0.0001462299739499018,setup_runes_spells,287
PrimaryKeyStone_P8_8214,0.00014621772745982434,setup_runes_spells,288
PrimaryKeyStone_P4_8369,0.00014459009796661683,setup_runes_spells,289
BlueChamp_67,0.00014381839399001058,champion_composition,290
PrimaryKeyStone_P10_8465,0.00014272600390640523,setup_runes_spells,291
PrimaryKeyStone_P6_8005,0.00014203244932387617,setup_runes_spells,292
RedChamp_222,0.0001420199131209896,champion_composition,293
Lane_P5_MIDDLE,0.00013896090544455306,lane_position,294
PrimaryKeyStone_P8_8369,0.00013676359036285016,setup_runes_spells,295
BlueChamp_234,0.0001366474780732715,champion_composition,296
BlueChamp_777,0.00013634797958523215,champion_composition,297
BlueChamp_267,0.00013435147836132026,champion_composition,298
RedChamp_67,0.00013296583495511148,champion_composition,299
SummonerSpell1_P10_3,0.00013248295178582508,setup_runes_spells,300
PrimaryKeyStone_P2_8005,0.00013243576243370946,setup_runes_spells,301
BlueChamp_102,0.00013082982916977386,champion_composition,302
PrimaryKeyStone_P5_8112,0.00013034078987481817,setup_runes_spells,303
PrimaryKeyStone_P1_8005,0.0001290631084079153,setup_runes_spells,304
RedChamp_555,0.00012897675420982932,champion_composition,305
PrimaryKeyStone_P3_8010,0.00012841482641263232,setup_runes_spells,306
PrimaryKeyStone_P10_8112,0.00012740000347654133,setup_runes_spells,307
SummonerSpell2_P5_3,0.00012530484223503943,setup_runes_spells,308
RedChamp_777,0.00012434802067973986,champion_composition,309
PrimaryKeyStone_P3_8214,0.00012355771518002674,setup_runes_spells,310
BlueChamp_412,0.00012272004164074027,champion_composition,311
RedChamp_103,0.0001224309938111206,champion_composition,312
RedChamp_145,0.00012242451974445932,champion_composition,313
PrimaryKeyStone_P3_8369,0.00011676041296341738,setup_runes_spells,314
PrimaryKeyStone_P10_8128,0.00011643500761455274,setup_runes_spells,315
BlueChamp_21,0.00011635542854523438,champion_composition,316
RedChamp_234,0.00011619354471389793,champion_composition,317
RedChamp_102,0.0001160095328774264,champion_composition,318
SummonerSpell2_P6_6,0.00011539787663457418,setup_runes_spells,319
PrimaryKeyStone_P6_8229,0.00011529240982517298,setup_runes_spells,320
RedChamp_122,0.00011390730752593243,champion_composition,321
PrimaryKeyStone_P5_9923,0.00011326251934083007,setup_runes_spells,322
BlueChamp_90,0.00011149066456173479,champion_composition,323
BlueChamp_11,0.00010928885940732792,champion_composition,324
PrimaryKeyStone_P5_8351,0.00010877152277520506,setup_runes_spells,325
PrimaryKeyStone_P4_8128,0.00010721086150559138,setup_runes_spells,326
RedChamp_21,0.00010611780489079349,champion_composition,327
RedChamp_82,0.00010607063270273815,champion_composition,328
SummonerSpell1_P1_6,0.00010574675463665498,setup_runes_spells,329
RedChamp_110,0.00010508599937094972,champion_composition,330
PrimaryKeyStone_P9_8010,0.00010490078713578737,setup_runes_spells,331
BlueChamp_141,0.00010460632383550524,champion_composition,332
RedChamp_64,0.00010394434126921198,champion_composition,333
PrimaryKeyStone_P1_8021,0.00010337673418502955,setup_runes_spells,334
PrimaryKeyStone_P2_8112,0.00010325610427899255,setup_runes_spells,335
BlueChamp_103,0.00010278819401858896,champion_composition,336
PrimaryKeyStone_P9_8229,0.00010174434255958925,setup_runes_spells,337
RedChamp_84,0.00010100212045923652,champion_composition,338
BlueChamp_75,0.00010070774633237402,champion_composition,339
BlueChamp_517,0.00010035061781867312,champion_composition,340
PrimaryKeyStone_P4_8010,9.930201281846865e-05,setup_runes_spells,341
BlueChamp_902,9.90639562848264e-05,champion_composition,342
PrimaryKeyStone_P7_8112,9.901050254863071e-05,setup_runes_spells,343
PrimaryKeyStone_P1_8112,9.89890943146276e-05,setup_runes_spells,344
BlueChamp_45,9.889195879429422e-05,champion_composition,345
PrimaryKeyStone_P3_8128,9.808519835951212e-05,setup_runes_spells,346
PrimaryKeyStone_P9_8369,9.800419658935727e-05,setup_runes_spells,347
PrimaryKeyStone_P8_8230,9.774177928821288e-05,setup_runes_spells,348
RedChamp_412,9.759956833886783e-05,champion_composition,349
BlueChamp_236,9.647906723991887e-05,champion_composition,350
RedChamp_37,9.472916024368477e-05,champion_composition,351
PrimaryKeyStone_P9_8128,9.471639265852479e-05,setup_runes_spells,352
BlueChamp_0,9.378637085010559e-05,champion_composition,353
BlueChamp_84,9.338352699641716e-05,champion_composition,354
PrimaryKeyStone_P10_9923,9.292467457732608e-05,setup_runes_spells,355
BlueChamp_80,9.240054688081549e-05,champion_composition,356
PrimaryKeyStone_P4_8229,9.233995554834775e-05,setup_runes_spells,357
BlueChamp_98,9.193389029880132e-05,champion_composition,358
PrimaryKeyStone_P7_9923,9.159720937627313e-05,setup_runes_spells,359
BlueChamp_86,9.085354567936438e-05,champion_composition,360
PrimaryKeyStone_P8_8128,9.074740104943938e-05,setup_runes_spells,361
RedChamp_43,9.040291038655171e-05,champion_composition,362
BlueChamp_82,9.000625398870305e-05,champion_composition,363
RedChamp_238,8.914206093781006e-05,champion_composition,364
RedChamp_104,8.850775732463292e-05,champion_composition,365
PrimaryKeyStone_P5_8128,8.836070160826876e-05,setup_runes_spells,366
Lane_P6_MIDDLE,8.6227343586799e-05,lane_position,367
Lane_P9_MIDDLE,8.613048113836342e-05,lane_position,368
BlueChamp_36,8.60494831558939e-05,champion_composition,369
Lane_P2_TOP,8.505033778281499e-05,lane_position,370
SummonerSpell1_P6_6,8.43723508429403e-05,setup_runes_spells,371
PrimaryKeyStone_P2_8021,8.295667707617507e-05,setup_runes_spells,372
BlueChamp_64,8.280659060623768e-05,champion_composition,373
RedChamp_0,8.162529794764513e-05,champion_composition,374
SummonerSpell2_P8_11,8.054416810234512e-05,setup_runes_spells,375
BlueChamp_147,8.009192156436563e-05,champion_composition,376
RedChamp_80,7.92326908827466e-05,champion_composition,377
PrimaryKeyStone_P7_8021,7.896907542854177e-05,setup_runes_spells,378
QueueType_ARAM,7.894967326829382e-05,queue_type,379
BlueChamp_54,7.838527202960718e-05,champion_composition,380
RedChamp_804,7.60453672672421e-05,champion_composition,381
PrimaryKeyStone_P1_8229,7.572809277353253e-05,setup_runes_spells,382
Lane_P9_TOP,7.554671161363031e-05,lane_position,383
RedChamp_111,7.465142485742451e-05,champion_composition,384
PrimaryKeyStone_P2_8369,7.389413184261049e-05,setup_runes_spells,385
Lane_P7_JUNGLE,7.376111787452005e-05,lane_position,386
BlueChamp_266,7.346002228043647e-05,champion_composition,387
RedChamp_236,7.341956495731529e-05,champion_composition,388
BlueChamp_7,7.323784525569912e-05,champion_composition,389
BlueChamp_121,7.28128736757939e-05,champion_composition,390
BlueChamp_122,7.190552953292711e-05,champion_composition,391
BlueChamp_37,7.164874270551783e-05,champion_composition,392
BlueChamp_63,7.160903137323192e-05,champion_composition,393
RedChamp_902,7.148982420431593e-05,champion_composition,394
PrimaryKeyStone_P6_9923,7.10475207731504e-05,setup_runes_spells,395
BlueChamp_43,7.074534642320088e-05,champion_composition,396
BlueChamp_117,7.035182830653181e-05,champion_composition,397
RedChamp_235,7.002822619342277e-05,champion_composition,398
RedChamp_92,6.937591908571235e-05,champion_composition,399
BlueChamp_104,6.934988207815556e-05,champion_composition,400
PrimaryKeyStone_P7_8369,6.918119215318305e-05,setup_runes_spells,401
RedChamp_45,6.918050077150607e-05,champion_composition,402
PrimaryKeyStone_P6_8021,6.906168118517257e-05,setup_runes_spells,403
SummonerSpell1_P6_2201,6.78256503964869e-05,setup_runes_spells,404
RedChamp_147,6.747547935783655e-05,champion_composition,405
BlueChamp_55,6.720411618912717e-05,champion_composition,406
SummonerSpell2_P9_7,6.690538287172308e-05,setup_runes_spells,407
BlueChamp_555,6.689260060301354e-05,champion_composition,408
BlueChamp_136,6.678473629237919e-05,champion_composition,409
