row_index,explanation_type,feature,contribution_to_blue_logit,abs_contribution,raw_value,pushes_prediction_toward,tree_global_importance,z_vs_train
45020,linear_top_contribution,TotalGold_P4,0.4449592040805772,0.4449592040805772,8372,Blue,,
45020,linear_top_contribution,TotalGold_P1,0.44465081806099027,0.44465081806099027,6829,Blue,,
45020,linear_top_contribution,Lane_P2_TOP,-0.40929089659086965,0.40929089659086965,True,Red,,
45020,linear_top_contribution,Diff_DmgDealt,0.3988270907231344,0.3988270907231344,9440,Blue,,
45020,linear_top_contribution,SummonerSpell1_P3_13,-0.39205280379081925,0.39205280379081925,True,Red,,
45020,linear_top_contribution,MinionsKilled_P9,0.3800168494895776,0.3800168494895776,5,Blue,,
45020,tree_important_feature_value,Diff_TotalGold,,0.12177830234749973,4277.0,,0.06587563605845399,1.8486091312946282
45020,tree_important_feature_value,Blue_TotalGold_avg,,0.0723857042577401,7442.0,,0.021827003850003922,3.3163371736761342
45020,tree_important_feature_value,Blue_TotalGold_sum,,0.06807329933324767,37210.0,,0.020526652076751577,3.316337173676134
45020,tree_important_feature_value,Diff_kills,,0.04504818388179515,7.0,,0.03184261815221156,1.414713566153995
45020,tree_important_feature_value,Red_TotalGold_avg,,0.04362921226388844,6586.6,,0.01705442489298004,2.558234155515097
45020,tree_important_feature_value,Red_MinionsKilled_avg,,0.04128853293933623,16.2,,0.01144481695409794,-3.6076184621329768
45020,tree_important_feature_value,Red_TotalGold_sum,,0.04006737114129551,32933.0,,0.015662120316436788,2.558234155515097
45020,tree_important_feature_value,Diff_DmgDealt,,0.039654380213917415,9440.0,,0.021585852383133448,1.8370541737282602
38804,linear_top_contribution,BlueChamp_119,-0.6166891102542142,0.6166891102542142,1,Red,,
38804,linear_top_contribution,MinionsKilled_P7,0.5909462295043932,0.5909462295043932,0,Blue,,
38804,linear_top_contribution,SummonerSpell2_P1_7,-0.4689593317644283,0.4689593317644283,True,Red,,
38804,linear_top_contribution,BlueChamp_81,-0.4318741646386696,0.4318741646386696,1,Red,,
38804,linear_top_contribution,SummonerSpell2_P10_32,-0.39022497677606466,0.39022497677606466,True,Red,,
38804,linear_top_contribution,TotalGold_P8,-0.38356899078798334,0.38356899078798334,6822,Red,,
38804,linear_top_contribution,TotalGold_P1,0.3613521290914871,0.3613521290914871,6277,Blue,,
38804,linear_top_contribution,RedChamp_42,0.3490641408304516,0.3490641408304516,1,Blue,,
38804,tree_important_feature_value,Blue_TotalGold_avg,,0.06239777380696159,6949.6,,0.021827003850003922,2.858742053456429
38804,tree_important_feature_value,Blue_TotalGold_sum,,0.05868040350847845,34748.0,,0.020526652076751577,2.858742053456428
38804,tree_important_feature_value,Diff_TotalGold,,0.04685200359699133,1635.0,,0.06587563605845399,0.7112189938540819
38804,tree_important_feature_value,Red_TotalGold_avg,,0.04420883845343927,6622.6,,0.01705442489298004,2.5922210060355986
38804,tree_important_feature_value,Red_TotalGold_sum,,0.04059967728332436,33113.0,,0.015662120316436788,2.5922210060355986
38804,tree_important_feature_value,Red_MinionsKilled_avg,,0.03836375027863434,19.0,,0.01144481695409794,-3.3520632468392417
38804,tree_important_feature_value,Blue_MinionsKilled_sum,,0.034552845832822046,106.0,,0.010956699692384341,-3.153581534852018
38804,tree_important_feature_value,Red_MinionsKilled_sum,,0.03415936374676403,95.0,,0.010190548695336787,-3.352063246839242
71733,linear_top_contribution,Diff_TotalGold,0.2801807148104655,0.2801807148104655,1731,Blue,,
71733,linear_top_contribution,PrimaryKeyStone_P4_9923,-0.2569668064401072,0.2569668064401072,True,Red,,
71733,linear_top_contribution,Diff_MinionsKilled,0.239669425533576,0.239669425533576,40,Blue,,
71733,linear_top_contribution,BlueChamp_121,-0.21389648891806234,0.21389648891806234,1,Red,,
71733,linear_top_contribution,PrimaryKeyStone_P8_8369,-0.14420358226862343,0.14420358226862343,True,Red,,
71733,linear_top_contribution,BlueChamp_92,-0.12726200053476205,0.12726200053476205,1,Red,,
71733,linear_top_contribution,MinionsKilled_P4,0.12004809437552266,0.12004809437552266,95,Blue,,
71733,linear_top_contribution,DmgDealt_P4,-0.1137559186489303,0.1137559186489303,952,Red,,
71733,tree_important_feature_value,Diff_TotalGold,,0.049574533755980275,1731.0,,0.06587563605845399,0.7525473258731177
71733,tree_important_feature_value,Diff_MinionsKilled,,0.03173697306577178,40.0,,0.026456908756423463,1.1995722311309847
71733,tree_important_feature_value,Diff_kills,,0.018995412558003383,3.0,,0.03184261815221156,0.5965405378164264
71733,tree_important_feature_value,Diff_deaths,,0.016211176832758988,-3.0,,0.02698316502916251,-0.6007885589121397
71733,tree_important_feature_value,Red_KDA,,0.015811491072398955,1.0,,0.025119534818149734,-0.6294499952672136
71733,tree_important_feature_value,Diff_DragonKills,,0.014601823067521169,-1.0,,0.014490790213985822,-1.007662304946502
71733,tree_important_feature_value,Diff_Kills,,0.013049698891764732,3.0,,0.02274828136650822,0.5736564745931756
71733,tree_important_feature_value,RedDragonKills,,0.011754926449524014,1.0,,0.010870013832403231,1.0814086008320323
38865,linear_top_contribution,RedChamp_119,0.4465558277033455,0.4465558277033455,1,Blue,,
38865,linear_top_contribution,RedChamp_81,0.40240467499919924,0.40240467499919924,1,Blue,,
38865,linear_top_contribution,BlueChamp_38,0.4006341219246519,0.4006341219246519,1,Blue,,
38865,linear_top_contribution,Diff_TotalGold,-0.22855003536240948,0.22855003536240948,-1443,Red,,
38865,linear_top_contribution,TotalGold_P1,-0.2116281644179392,0.2116281644179392,2480,Red,,
